email,surname,name,region
anon0@canterbury.ac.uk,Surname0,Name0,US
anon10000@canterbury.ac.uk,Surname10000,Name10000,FR
anon10001@canterbury.ac.uk,Surname10001,Name10001,IT
anon10002@canterbury.ac.uk,Surname10002,Name10002,IT
anon10003@canterbury.ac.uk,Surname10003,Name10003,FR
anon10004@canterbury.ac.uk,Surname10004,Name10004,US
anon10005@canterbury.ac.uk,Surname10005,Name10005,ES
anon10006@canterbury.ac.uk,Surname10006,Name10006,CN
anon10007@canterbury.ac.uk,Surname10007,Name10007,IT
anon10008@canterbury.ac.uk,Surname10008,Name10008,US
anon10009@canterbury.ac.uk,Surname10009,Name10009,US
anon1000@canterbury.ac.uk,Surname1000,Name1000,CN
anon10010@canterbury.ac.uk,Surname10010,Name10010,ES
anon10011@canterbury.ac.uk,Surname10011,Name10011,FR
anon10012@canterbury.ac.uk,Surname10012,Name10012,IT
anon10013@canterbury.ac.uk,Surname10013,Name10013,IT
anon10014@canterbury.ac.uk,Surname10014,Name10014,GB
anon10015@canterbury.ac.uk,Surname10015,Name10015,CN
anon10016@canterbury.ac.uk,Surname10016,Name10016,CN
anon10017@canterbury.ac.uk,Surname10017,Name10017,CN
anon10018@canterbury.ac.uk,Surname10018,Name10018,US
anon10019@canterbury.ac.uk,Surname10019,Name10019,US
anon1001@canterbury.ac.uk,Surname1001,Name1001,IT
anon10020@canterbury.ac.uk,Surname10020,Name10020,US
anon10021@canterbury.ac.uk,Surname10021,Name10021,GB
anon10022@canterbury.ac.uk,Surname10022,Name10022,FR
anon10023@canterbury.ac.uk,Surname10023,Name10023,ES
anon10024@canterbury.ac.uk,Surname10024,Name10024,IT
anon10025@canterbury.ac.uk,Surname10025,Name10025,FR
anon10026@canterbury.ac.uk,Surname10026,Name10026,ES
anon10027@canterbury.ac.uk,Surname10027,Name10027,FR
anon10028@canterbury.ac.uk,Surname10028,Name10028,FR
anon10029@canterbury.ac.uk,Surname10029,Name10029,GB
anon1002@canterbury.ac.uk,Surname1002,Name1002,FR
anon10030@canterbury.ac.uk,Surname10030,Name10030,FR
anon10031@canterbury.ac.uk,Surname10031,Name10031,IT
anon10032@canterbury.ac.uk,Surname10032,Name10032,FR
anon10033@canterbury.ac.uk,Surname10033,Name10033,FR
anon10034@canterbury.ac.uk,Surname10034,Name10034,IT
anon10035@canterbury.ac.uk,Surname10035,Name10035,IT
anon10036@canterbury.ac.uk,Surname10036,Name10036,CN
anon10037@canterbury.ac.uk,Surname10037,Name10037,CN
anon10038@canterbury.ac.uk,Surname10038,Name10038,CN
anon10039@canterbury.ac.uk,Surname10039,Name10039,FR
anon1003@canterbury.ac.uk,Surname1003,Name1003,CN
anon10040@canterbury.ac.uk,Surname10040,Name10040,GB
anon10041@canterbury.ac.uk,Surname10041,Name10041,IT
anon10042@canterbury.ac.uk,Surname10042,Name10042,CN
anon10043@canterbury.ac.uk,Surname10043,Name10043,ES
anon10044@canterbury.ac.uk,Surname10044,Name10044,US
anon10045@canterbury.ac.uk,Surname10045,Name10045,FR
anon10046@canterbury.ac.uk,Surname10046,Name10046,IT
anon10047@canterbury.ac.uk,Surname10047,Name10047,CN
anon10048@canterbury.ac.uk,Surname10048,Name10048,FR
anon10049@canterbury.ac.uk,Surname10049,Name10049,GB
anon1004@canterbury.ac.uk,Surname1004,Name1004,US
anon10050@canterbury.ac.uk,Surname10050,Name10050,ES
anon10051@canterbury.ac.uk,Surname10051,Name10051,ES
anon10052@canterbury.ac.uk,Surname10052,Name10052,US
anon10053@canterbury.ac.uk,Surname10053,Name10053,IT
anon10054@canterbury.ac.uk,Surname10054,Name10054,GB
anon10055@canterbury.ac.uk,Surname10055,Name10055,US
anon10056@canterbury.ac.uk,Surname10056,Name10056,GB
anon10057@canterbury.ac.uk,Surname10057,Name10057,FR
anon10058@canterbury.ac.uk,Surname10058,Name10058,ES
anon10059@canterbury.ac.uk,Surname10059,Name10059,ES
anon1005@canterbury.ac.uk,Surname1005,Name1005,CN
anon10060@canterbury.ac.uk,Surname10060,Name10060,ES
anon10061@canterbury.ac.uk,Surname10061,Name10061,US
anon10062@canterbury.ac.uk,Surname10062,Name10062,CN
anon10063@canterbury.ac.uk,Surname10063,Name10063,US
anon10064@canterbury.ac.uk,Surname10064,Name10064,IT
anon10065@canterbury.ac.uk,Surname10065,Name10065,US
anon10066@canterbury.ac.uk,Surname10066,Name10066,FR
anon10067@canterbury.ac.uk,Surname10067,Name10067,CN
anon10068@canterbury.ac.uk,Surname10068,Name10068,ES
anon10069@canterbury.ac.uk,Surname10069,Name10069,GB
anon1006@canterbury.ac.uk,Surname1006,Name1006,US
anon10070@canterbury.ac.uk,Surname10070,Name10070,IT
anon10071@canterbury.ac.uk,Surname10071,Name10071,US
anon10072@canterbury.ac.uk,Surname10072,Name10072,CN
anon10073@canterbury.ac.uk,Surname10073,Name10073,GB
anon10074@canterbury.ac.uk,Surname10074,Name10074,US
anon10075@canterbury.ac.uk,Surname10075,Name10075,CN
anon10076@canterbury.ac.uk,Surname10076,Name10076,CN
anon10077@canterbury.ac.uk,Surname10077,Name10077,US
anon10078@canterbury.ac.uk,Surname10078,Name10078,ES
anon10079@canterbury.ac.uk,Surname10079,Name10079,CN
anon1007@canterbury.ac.uk,Surname1007,Name1007,CN
anon10080@canterbury.ac.uk,Surname10080,Name10080,CN
anon10081@canterbury.ac.uk,Surname10081,Name10081,ES
anon10082@canterbury.ac.uk,Surname10082,Name10082,CN
anon10083@canterbury.ac.uk,Surname10083,Name10083,ES
anon10084@canterbury.ac.uk,Surname10084,Name10084,FR
anon10085@canterbury.ac.uk,Surname10085,Name10085,FR
anon10086@canterbury.ac.uk,Surname10086,Name10086,US
anon10087@canterbury.ac.uk,Surname10087,Name10087,IT
anon10088@canterbury.ac.uk,Surname10088,Name10088,ES
anon10089@canterbury.ac.uk,Surname10089,Name10089,GB
anon1008@canterbury.ac.uk,Surname1008,Name1008,ES
anon10090@canterbury.ac.uk,Surname10090,Name10090,GB
anon10091@canterbury.ac.uk,Surname10091,Name10091,IT
anon10092@canterbury.ac.uk,Surname10092,Name10092,CN
anon10093@canterbury.ac.uk,Surname10093,Name10093,GB
anon10094@canterbury.ac.uk,Surname10094,Name10094,GB
anon10095@canterbury.ac.uk,Surname10095,Name10095,IT
anon10096@canterbury.ac.uk,Surname10096,Name10096,GB
anon10097@canterbury.ac.uk,Surname10097,Name10097,ES
anon10098@canterbury.ac.uk,Surname10098,Name10098,IT
anon10099@canterbury.ac.uk,Surname10099,Name10099,CN
anon1009@canterbury.ac.uk,Surname1009,Name1009,ES
anon100@canterbury.ac.uk,Surname100,Name100,IT
anon10100@canterbury.ac.uk,Surname10100,Name10100,FR
anon10101@canterbury.ac.uk,Surname10101,Name10101,IT
anon10102@canterbury.ac.uk,Surname10102,Name10102,CN
anon10103@canterbury.ac.uk,Surname10103,Name10103,FR
anon10104@canterbury.ac.uk,Surname10104,Name10104,CN
anon10105@canterbury.ac.uk,Surname10105,Name10105,GB
anon10106@canterbury.ac.uk,Surname10106,Name10106,CN
anon10107@canterbury.ac.uk,Surname10107,Name10107,IT
anon10108@canterbury.ac.uk,Surname10108,Name10108,ES
anon10109@canterbury.ac.uk,Surname10109,Name10109,US
anon1010@canterbury.ac.uk,Surname1010,Name1010,FR
anon10110@canterbury.ac.uk,Surname10110,Name10110,FR
anon10111@canterbury.ac.uk,Surname10111,Name10111,IT
anon10112@canterbury.ac.uk,Surname10112,Name10112,ES
anon10113@canterbury.ac.uk,Surname10113,Name10113,US
anon10114@canterbury.ac.uk,Surname10114,Name10114,GB
